Departamento en Venta Benjamin Franklin Hipódromo Condesa Cuauhtémoc Distrito Federal cdmx,19.4073598,-99.1824532,"Hipódromo Condesa, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",215,1,11300000,11
Departamento en Venta Av San Antonio San Pedro De Los Pinos Benito Juárez Distrito Federal cdmx,19.3852272,-99.1853693,"San Pedro de los Pinos, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",64,1,2590000,11
Departamento en Venta Benjamin Franklin Hipódromo Condesa Cuauhtémoc Distrito Federal cdmx,19.4073598,-99.1824532,"Hipódromo Condesa, Cuauhtémoc, Distrito Federal (CDMX), Distrito Federal (CDMX)",217,1,11300000,11
Departamento en Venta Av Balderas Centro área 2 Ciudad De México,19.42830979622389,-99.14842010589598,"Centro (Área 2), Ciudad De México, Distrito Federal (CDMX)",60,1,2350000,11
Departamento en Venta Cienfuegos 1077 Residencial Zacatenco Gustavo A Madero,19.501413349021032,-99.12218079206549,"Residencial Zacatenco, Gustavo A. Madero, Distrito Federal (CDMX)",56,1,2140000,11
Departamento en Venta Monte Alban Narvarte Benito Juárez Distrito Federal cdmx,19.3989634,-99.149963,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",107,1,3966674,11
Departamento en Venta Monte Alban Narvarte Benito Juárez Distrito Federal cdmx,19.3989634,-99.149963,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",111,1,4114134,11
Departamento en Venta Monte Alban Narvarte Benito Juárez Distrito Federal cdmx,19.3989634,-99.149963,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",111,1,4170492,11
Departamento en Venta Monte Alban Narvarte Benito Juárez Distrito Federal cdmx,19.3989634,-99.149963,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",111,1,4170492,11
Departamento en Venta Monte Alban Narvarte Benito Juárez Distrito Federal cdmx,19.3989634,-99.149963,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",186,1,4877492,11
Departamento en Venta Monte Alban Narvarte Benito Juárez Distrito Federal cdmx,19.3989634,-99.149963,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",186,1,4877492,11
Departamento en Venta Monte Alban Narvarte Benito Juárez Distrito Federal cdmx,19.3989634,-99.149963,"Narvarte, Benito Juárez, Distrito Federal (CDMX), Distrito Federal (CDMX)",109,1,4007195,11
