colonia,del,num
MODERNA,BENITO JUÁREZ,2
MORELOS,CUAUHTÉMOC,6
MORELOS,VENUSTIANO CARRANZA,7
NAPOLES,BENITO JUÁREZ,10
NARVARTE ORIENTE,BENITO JUÁREZ,7
NARVARTE PONIENTE,BENITO JUÁREZ,4
NATIVITAS,BENITO JUÁREZ,2
NIÑOS HEROES DE CHAPULTEPEC,BENITO JUÁREZ,1
NONOALCO,BENITO JUÁREZ,3
NUEVA ANZURES,MIGUEL HIDALGO,1
NUEVA ATZACOALCO,GUSTAVO A MADERO,7
NUEVA ORIENTAL COAPA,TLALPAN,3
NUEVA SANTA ANITA,IZTACALCO,1
NUEVA SANTA MARIA,AZCAPOTZALCO,1
NUEVA TENOCHTITLAN,GUSTAVO A MADERO,2
OBRERA,CUAUHTÉMOC,1
OLIVAR DEL CONDE 1RA SECC,ÁLVARO OBREGÓN,1
PANTITLAN,IZTACALCO,7
PARAJE SAN JUAN,IZTAPALAPA,1
PARQUE NACIONAL FUENTES BROTANTES,TLALPAN,2
PARQUE SAN ANDRES,COYOACÁN,1
PASEOS DE TAXQUEÑA,COYOACÁN,5
PAULINO NAVARRO,CUAUHTÉMOC,1
PEDREGAL DE SAN NICOLAS 4TA SECC,TLALPAN,1
PEDREGAL DE SANTO DOMINGO,COYOACÁN,3
PEDREGAL SANTA URSULA,COYOACÁN,2
PENSADOR MEXICANO,VENUSTIANO CARRANZA,1
PENSIL SUR,MIGUEL HIDALGO,2
PERALVILLO,CUAUHTÉMOC,1
PETROLERA TAXQUEÑA,COYOACÁN,1
PEÑON DE LOS BAÑOS,VENUSTIANO CARRANZA,1
PIEDAD NARVARTE,BENITO JUÁREZ,3
PLAN DE AYALA,XOCHIMILCO,1
POLANCO CHAPULTEPEC,MIGUEL HIDALGO,1
POPOTLA,MIGUEL HIDALGO,1
PORTALES NORTE,BENITO JUÁREZ,8
PORTALES ORIENTE,BENITO JUÁREZ,3
PORTALES SUR,BENITO JUÁREZ,9
PRADO CHURUBUSCO,COYOACÁN,1
PRADO COAPA 2DA SECC,TLALPAN,2
PRESIDENTES DE MEXICO,IZTAPALAPA,1
PROVIDENCIA,GUSTAVO A MADERO,1
PUEBLO DE LOS REYES,COYOACÁN,1
PUEBLO QUIETO,TLALPAN,1
PUEBLO SAN BERNABE OCOTEPEC,LA MAGDALENA CONTRERAS,1
PUEBLO SAN LORENZO TEZONCO,IZTAPALAPA,1
PUEBLO SAN SEBASTIAN TECOLOXTITLAN,IZTAPALAPA,2
PUEBLO SANTA CRUZ MEYEHUALCO,IZTAPALAPA,2
RANCHO SAN FRANCISCO,ÁLVARO OBREGÓN,1
REACOMODO LOMAS DE SANTO DOMINGO,ÁLVARO OBREGÓN,1
REAL DEL SUR,TLALPAN,1
REFORMA PENSIL,MIGUEL HIDALGO,2
REFORMA SOCIAL,MIGUEL HIDALGO,1
RES MIRAMONTES,TLALPAN,1
RES ZACATENCO,GUSTAVO A MADERO,2
RESIDENCIAL VILLA COAPA SUPER MANZANA 4,TLALPAN,2
RESIDENCIAL VILLA COAPA SUPER MANZANA 8,TLALPAN,1
ROMA NORTE,CUAUHTÉMOC,8
ROMA SUR,CUAUHTÉMOC,6
ROMERO DE TERREROS,COYOACÁN,1
SALVADOR DIAZ MIRON,GUSTAVO A MADERO,2
SAN ALVARO,AZCAPOTZALCO,1
SAN FELIPE DE JESUS,GUSTAVO A MADERO,3
SAN FRANCISCO CULHUACAN,COYOACÁN,1
SAN FRANCISCO XICALTONGO,IZTACALCO,1
SAN GREGORIO ATLAPULCO,XOCHIMILCO,1
SAN JOSE DE LA ESCALERA,GUSTAVO A MADERO,1
SAN JOSE INSURGENTES,BENITO JUÁREZ,1
SAN JOSE TICOMAN,GUSTAVO A MADERO,1
SAN JUAN,BENITO JUÁREZ,1
SAN JUAN DE ARAGON 2DA SECC,GUSTAVO A MADERO,3
SAN JUAN DE ARAGON 6TA SECC,GUSTAVO A MADERO,1
SAN JUAN DE ARAGON 7MA SECC,GUSTAVO A MADERO,2
SAN LORENZO ACOPILCO,CUAJIMALPA DE MORELOS,1
SAN LORENZO HUIPULCO,TLALPAN,2
SAN MATEO,COYOACÁN,1
